ID 90minut,ID transfermarkt,Imie i Nazwisko,Pozycja,Transfer: sezon,Transfer: data,Transfer: z klubu,Transfer: do klubu,Transfer: wartość rynkowa,Transfer: cena,Sezon_young,Transfer po utracie statusu
29779,321240,Miłosz Szczepański,Ofensywny pomocnik,2017/2018,26.01.2018,Legia Warszawa,Raków Częstochowa,50000,25000,2019/2020,False
31167,448567,Daniel Mikołajewski,Środkowy obrońca,2019/2020,01.01.2020,Lechia Gdańsk,Raków Częstochowa,50000,13000,2020/2021,False
31167,448567,Daniel Mikołajewski,Środkowy obrońca,2016/2017,19.01.2017,Podbeskidzie Bielsko-Biała,Lechia II,50000,za darmo,2020/2021,False
31444,466369,Kamil Antonik,Ofensywny pomocnik,2020/2021,02.10.2020,Arka Gdynia,Zagłębie Sosnowiec,100000,za darmo,2019/2020,True
31572,510459,Kacper Kostorz,Środkowy napastnik,2021/2022,07.01.2022,Legia Warszawa,Pogoń Szczecin,100000,?,2020/2021,True
31668,320741,Damian Pawlowski,Środkowy pomocnik,2021/2022,01.07.2021,Wisła Kraków,Zagłębie Sosnowiec,200000,za darmo,2020/2021,True
31668,320741,Damian Pawlowski,Środkowy pomocnik,2019/2020,27.08.2019,Pogoń Szczecin,Wisła Kraków,300000,za darmo,2020/2021,False
32876,374418,Mateusz Praszelik,Ofensywny pomocnik,2022/2023,02.01.2023,Śląsk Wrocław,Hellas Verona,1200000,2000000,2021/2022,True
32876,374418,Mateusz Praszelik,Ofensywny pomocnik,2020/2021,01.08.2020,Legia Warszawa,Śląsk Wrocław,200000,za darmo,2021/2022,False
33148,385053,Piotr Pyrdol,Ofensywny pomocnik,2021/2022,03.02.2022,Wisła Płock,Skra Czesto.,150000,za darmo,2020/2021,True
33148,385053,Piotr Pyrdol,Ofensywny pomocnik,2020/2021,26.08.2020,Legia Warszawa,Wisła Płock,150000,za darmo,2020/2021,False
33244,514201,Mateusz Grudziński,Środkowy obrońca,2022/2023,15.07.2022,Legia Warszawa,Znicz Pruszkow,25000,za darmo,2021/2022,True
33264,407098,Jakub Kaminski,Lewy skrzydłowy,2022/2023,01.07.2022,Lech Poznań,VfL Wolfsburg,10000000,10000000,2021/2022,False
34122,401604,Michal Karbownik,Lewy obrońca,2020/2021,04.10.2020,Legia Warszawa,Brighton,6000000,3900000,2020/2021,False
34502,560940,Michal Rostkowski,Lewy pomocnik,2022/2023,01.07.2022,Górnik Zabrze,Gornik II,100000,-,2021/2022,True
